sub-	亜	ア, つ-ぐ	под-
north	北	ホク、きた	север
tree	木	ボク、モク、き、（こ）	дерево
crude	朴	ボク, ほお, えのき	простодушный
breed	牧	ボク、まき	пасти
harmonious	睦	ボク, むつ-まじい, むつ-む, むつ-ぶ	дружный
me	僕	ボク, しもべ	я
black ink	墨	ボク、すみ	тушь
slap	撲	ボク	побои
drown	没	ボツ, モツ	скрываться из виду
rise	勃	ボツ	быстрый подъём
ditch	堀	ほり	канал
book	本	ホン、もと	книга
bustle	奔	ホン, はし-る	беготня
flip	翻	ホン、ひるがえ-る、ひるがえ-す	перелагать
mediocre	凡	ボン、（ハン）, およ-そ, すべ-て	посредственный
basin	盆	ボン	поднос
hemp	麻	マ、あさ	конопля
chafe	摩	マ, ま-する, さ-する, す-る	трение
grind	磨	マ, みが-く, す-る	шлифовать
witch	魔	マ	демон
every	毎	マイ, ごと, -ごと-に	каждый
younger sister	妹	マイ、いもうと	младшая сестра
sheet of...	枚	マイ	плоские предметы
foolish	昧	マイ	невежественный
bury	埋	マイ, う-める, う-まる, う-もれる, うず-める, うず-まる, い-ける	зарывать
curtain	幕	マク、バク	занавес
membrane	膜	マク	перепонка
pillow	枕	チン, まくら	подушка
or again	又	また	опять
end	末	マツ、バツ、すえ	окончание
rub	抹	マツ	растирать
ten thousand	万	マン, バン, よろず	десять тысяч
full	満	マン、み-ちる、み-たす, み-つ	полный
ridicule	慢	マン	высокомерный
cartoon	漫	マン	бесцельный
not yet	未	ミ, いま-だ, ま-だ, ひつじ	ещё не
flavor	味	ミ、あじ、あじ-わう	вкус
fascination	魅	ミ	очаровывать
headland	岬	みさき	мыс
secrecy	密	ミツ, ひそ-か	тайна
honey	蜜	ミツ	мёд
vein	脈	ミャク	жила
exquisite	妙	ミョウ, ビョウ, たえ	чудесный
people	民	ミン、たみ	народ
sleep	眠	ミン、ねむ-る、ねむ-い	спать
halberd	矛	ム、ほこ	копьё
duty	務	ム、つと-める、つと-まる	дела
nothing	無	ム、ブ、な-い	без
dream	夢	ム、ゆめ	сновидение
fog	霧	ム、きり	туман
daughter	娘	むすめ	дочь
name	名	メイ、ミョウ、な	имя
fate	命	メイ、ミョウ、いのち	приказ
bright	明	メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす	ясный
astray	迷	メイ、まよ-う	заблудиться
dark	冥	メイ、ミョウ	потусторонний
alliance	盟	メイ	союз
inscription	銘	メイ	надпись
chirp	鳴	メイ、な-く、な-る、な-らす	чирикать
destroy	滅	メツ, ほろ-びる, ほろ-ぶ, ほろ-ぼす	гибнуть
excuse	免	メン, まぬか-れる, まぬが-れる	освобождать
face	面	メン、おも、おもて、つら	лицо
cotton	綿	メン、わた	хлопок
noodles	麺	メン	лапша
overgrown	茂	モ、しげ-る	густо расти
imitation	模	モ、ボ	образец
hair	毛	モウ、け	шерсть
delusion	妄	モウ、ボウ	вздор
blind	盲	モウ, めくら	слепой
decrease	耗	モウ、（コウ）	убыль
fierce	猛	モウ	свирепый
netting	網	モウ、あみ	сеть
eye	目	モク、（ボク）、め、（ま）	глаз
silence	黙	モク、だま-る	молчать
gates	門	モン、かど	ворота
family crest	紋	モン	герб
question	問	モン、と-う、と-い、（とん）	вопрос
melting	冶	ヤ	металлургия
night	夜	ヤ、よ、よる	ночь
field	野	ヤ、の	поле
all the more	弥	ミ, ビ, いや, や	ещё больше
unlucky	厄	ヤク	несчастье
service	役	ヤク、エキ	роль
promise	約	ヤク	приблизительно
translate	訳	ヤク、わけ	перевод
medicine	薬	ヤク、くすり	лекарство
leap	躍	ヤク、おど-る	скакать
darkness	闇	やみ, くら-い	чёрный рынок
reason	由	ユ、ユウ、（ユイ）、よし, よ-る	причина
oil	油	ユ、あぶら	масло
metaphor	喩	ユ, たと-える	метафора
pleasure	愉	ユ, たの-しい	приятный
rebuke	諭	ユ、さと-す	увещевать
transport	輸	ユ, シュ	ввоз-вывоз
healing	癒	ユ、い-える、い-やす	заживать
solely	唯	ユイ、（イ）, ただ	только
friend	友	ユウ、とも	друг
have	有	ユウ、ウ、あ-る	иметь
courage	勇	ユウ、いさ-む	храбрость
seclude	幽	ユウ, かす-か	потусторонний
permanence	悠	ユウ	неторопливый
mail	郵	ユウ	почта
boil	湧	ユウ、わ-く	бить фонтаном
furthermore	猶	ユウ, ユ, なお	еврей
abundant	裕	ユウ	достаток
play	遊	ユウ、（ユ）、あそ-ぶ, あそ-ばす	развлекаться
male	雄	ユウ, お-, おす, おん	самец
entice	誘	ユウ、さそ-う, いざな-う	завлекать
melancholy	憂	ユウ、うれ-える、うれ-い、う-い	беспокойство
dissolve	融	ユウ, と-ける, と-かす	финансы
superior	優	ユウ、やさ-しい、すぐ-れる, まさ-る	превосходный
give	与	ヨ、あた-える, あずか-る, くみ-する	давать
in advance	予	ヨ, あらかじ-め	заранее
leave over	余	ヨ、あま-る、あま-す, あんま-り	излишек
reputation	誉	ヨ、ほま-れ, ほ-める	честь
deposit	預	ヨ、あず-ける、あず-かる	депозит
infancy	幼	ヨウ、おさな-い	младенец
use	用	ヨウ、もち-いる	употреблять
sheep	羊	ヨウ、ひつじ	овца
bewitching	妖	ヨウ、あや-しい	волшебный
ocean	洋	ヨウ	океан
need	要	ヨウ、かなめ、い-る	требоваться
contain	容	ヨウ, い-れる	вмещать
commonplace	庸	ヨウ	заурядный
hoist	揚	ヨウ、あ-げる、あ-がる	поднимать
swing	揺	ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる	трястись
leaf	葉	ヨウ、は	листва
sunshine	陽	ヨウ, ひ	солнце
melt	溶	ヨウ、と-ける、と-かす、と-く	растворяться
loins	腰	ヨウ、こし	поясница
formal title	様	ヨウ、さま	вот так
boil (medical)	瘍	ヨウ	язва
jump	踊	ヨウ、おど-る、おど-り	плясать
kiln	窯	ヨウ、かま	печь для обжига
foster	養	ヨウ、やしな-う	вскармливать
embrace	擁	ヨウ	поддерживать
noh chanting	謡	ヨウ、うたい、うた-う	народная песня
day of the week	曜	ヨウ	день недели
repress	抑	ヨク、おさ-える	сдерживать
fertility	沃	ヨウ, ヨク	йод
bathe	浴	ヨク、あ-びる、あ-びせる	купаться
longing	欲	ヨク、ほっ-する、ほ-しい	желать
the following	翌	ヨク	следующий день
wing	翼	ヨク、つばさ	крыло
crush	拉	ラ, ひし-ぐ	раздавить
naked	裸	ラ、はだか	голый
gauze	羅	ラ, うすもの	тонкий шёлк
come	来	ライ、く-る、きた-る、きた-す	приходить
thunder	雷	ライ、かみなり, いかずち, いかづち	гром
trust	頼	ライ、たの-む、たの-もしい、たよ-る	просить
entwine	絡	ラク、から-む、から-まる、から-める	зацепляться
fall	落	ラク、お-ちる、お-とす	падать
dairy products	酪	ラク	молокопродукты
bitter	辣	ラツ	горький
riot	乱	ラン、みだ-れる、みだ-す	беспорядок
egg	卵	ラン、たまご	яйцо
perusal	覧	ラン	осматривать
excessive	濫	ラン, みだ-りに, みだ-りがましい	превышение
indigo	藍	ラン、あい	индиго
column	欄	ラン	столбец
officer	吏	リ	чиновник
profit	利	リ、き-く	выгода
village	里	リ、さと	родная деревня
reason	理	リ, ことわり	принцип
diarrhea	痢	リ	понос
back	裏	リ、うら	изнанка
footgear	履	リ、は-く	осуществлять
glassy	璃	リ	ляпис-лазурь
detach	離	リ、はな-れる、はな-す	отделяться
land	陸	リク, ロク, おか	суша
stand up	立	リツ、（リュウ）、た-つ、た-てる	стоять
law	律	リツ、（リチ）	ритм
fear	慄	リツ	содрогаться
abbreviation	略	リャク, ほぼ	сокращение
willow	柳	リュウ、やなぎ	плакучая ива
stream	流	リュウ、（ル）、なが-れる、なが-す	течение
detain	留	リュウ、（ル）、と-める、と-まる, とど-める, とど-まる	пребывать
dragon	竜	リュウ、たつ	дракон
grains	粒	リュウ、つぶ	частица
hump	隆	リュウ	процветать
sulphur	硫	リュウ	сера
companion	侶	リョ, とも	товарищ
trip	旅	リョ、たび	путешествие
captive	虜	リョ, とりこ	пленный
prudence	慮	リョ, おもんぱく-る, おもんぱか-る	размышлять
finish	了	リョウ	понимать
both	両	リョウ	оба
good	良	リョウ、よ-い,  い-い	хороший
fee	料	リョウ	плата
refreshing	涼	リョウ、すず-しい、すず-む, すずやか	прохладный
game-hunting	猟	リョウ, か-る	охота
mausoleum	陵	リョウ、みささぎ	усыпальница
quantity	量	リョウ、はか-る	количество
colleague	僚	リョウ	коллега
territory	領	リョウ, えり	территория
dormitory	寮	リョウ	общежитие
heal	療	リョウ	лечение
clear	瞭	リョウ	очевидный
provisions	糧	リョウ、（ロウ）、かて	продовольствие
power	力	リョク、リキ、ちから	сила
green	緑	リョク、（ロク）、みどり	зелёный
woods	林	リン、はやし	лес
thousandth	厘	リン	самая малость
ethics	倫	リン	мораль
wheel	輪	リン、わ	колесо
neighboring	隣	リン、とな-る、となり	соседний
look to	臨	リン、のぞ-む	присутствовать
lapis lazuli	瑠	ル	ляпис-лазурь
tears	涙	ルイ、なみだ	слёзы
accumulate	累	ルイ	накапливаться
bases	塁	ルイ, とりで	крепостной вал
sort	類	ルイ、たぐ-い	сорт
orders	令	レイ	приказ
thanks	礼	レイ、ライ	этикет
cool	冷	レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、ひややか, さ-める、さ-ます	холодный
encourage	励	レイ、はげ-む、はげ-ます	побуждать
re-	戻	レイ、もど-す、もど-る	возвращать
example	例	レイ、たと-える	пример
small bell	鈴	レイ、リン、すず	колокольчик
zero	零	レイ, ぜろ, こぼ-す, こぼ-れる	ноль
spirits	霊	レイ、リョウ、たま	дух
slave	隷	レイ	раб
age	齢	レイ, よわい	возраст
lovely	麗	レイ, うるわ-しい, うら-らか	прекрасный
calendar	暦	レキ、こよみ	календарь
curriculum	歴	レキ	карьера
row	列	レツ	ряд
inferiority	劣	レツ、おと-る	хуже
ardent	烈	レツ, はげ-しい	яростный
split	裂	レツ、さ-く、さ-ける	рваться
romance	恋	レン、こ-う、こい、こい-しい	любовь
take along	連	レン、つら-なる、つら-ねる、つ-れる	связь
bargain	廉	レン	неподкупный
practice	練	レン、ね-る	тренироваться
tempering	錬	レン, ね-る	закалять
spine	呂	ロ, リョ	ванна
hearth	炉	ロ	печь
bribe	賂	ロ, まいな-い, まいな-う	взятка
road	路	ロ、じ, みち	дорога
dew	露	ロ、（ロウ）、つゆ	роса
old man	老	ロウ、お-いる、ふ-ける	старик
labour	労	ロウ, いたわ-る, いた-ずき, ねぎら-う	труд
tamper with	弄	ロウ、もてあそ-ぶ, いじく-る, いじ-る	забавляться
son	郎	ロウ	молодой человек
melodious	朗	ロウ、ほが-らか	звучный
wandering	浪	ロウ	бродить
corridor	廊	ロウ	коридор
watchtower	楼	ロウ	высокое здание
leak	漏	ロウ、も-る、も-れる、も-らす	протекать
basket	籠	ロウ、かご、こ-もる, こ-める, こ-む	корзина
six	六	ロク、む、む-つ、むっ-つ、（むい）	шесть
record	録	ロク	запись
foot of a mountain	麓	ロク、ふもと	подножие горы
theory	論	ロン	теория
peace	和	ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか	гармония
talk	話	ワ、はな-す、はなし	говорить
bribe	賄	ワイ、まかな-う	поставлять
aside	脇	わき	бок туловища
beguile	惑	ワク、まど-う	растерянность
frame	枠	わく	рамка
gulf	湾	ワン	залив
arm	腕	ワン、うで	рука
